radians	I
0.214538	0.364179
0.215809	1.540706
0.217080	1.615357
0.218350	0.825804
0.219621	0.496008
0.220891	0.751526
0.222162	1.285962
0.223432	0.379981
0.224703	0.785844
0.225974	1.867985
0.227244	2.107620
0.228515	2.959802
0.229786	3.583419
0.231056	3.364147
0.232327	3.974260
0.233597	4.598940
0.234868	3.377473
0.236138	4.949128
0.237409	5.132864
0.238680	5.186773
0.239950	4.690311
0.241221	4.688447
0.242491	5.205891
0.243762	5.476575
0.245032	5.198422
0.246303	5.627060
0.247574	5.649588
0.248844	5.752861
0.250115	6.396492
0.251385	7.180125
0.252656	7.285642
0.253927	8.053892
0.255197	8.364131
0.256468	8.461558
0.257738	8.642334
0.259009	7.871260
0.260279	8.063685
0.261550	8.583277
0.262821	8.953999
0.264091	8.662488
0.265362	8.826448
0.266632	8.916647
0.267903	8.444293
0.269174	7.703822
0.270444	7.471630
0.271715	7.141519
0.272985	7.383065
0.274256	7.528848
0.275527	8.027087
0.276797	7.981374
0.278068	7.499829
0.279338	7.734647
0.280609	8.250952
0.281880	8.205103
0.283150	8.817492
0.284421	9.593412
0.285691	9.921026
0.286962	9.824161
0.288233	9.835779
0.289503	9.849410
0.290774	9.984185
0.292044	10.427610
0.293315	10.606110
0.294585	10.167930
0.295856	10.055840
0.297127	8.983768
0.298397	8.852724
0.299668	8.511632
0.300938	8.071618
0.302209	8.064276
0.303480	8.011608
0.304750	7.790241
0.306021	8.163701
0.307291	8.214598
0.308562	8.191720
0.309832	7.546795
0.311103	7.761640
0.312374	7.990552
0.313644	7.899830
0.314915	7.879826
0.316185	8.160428
0.317456	7.998980
0.318727	7.988729
0.319997	7.980297
0.321268	8.033925
0.322538	7.714553
0.323809	7.136708
0.325080	8.241721
0.326350	9.004806
0.327621	8.977612
0.328891	9.088913
0.330162	9.058780
0.331432	8.366559
0.332703	8.538667
0.333974	8.425710
0.335244	8.463840
0.336515	7.464877
0.337785	7.222701
0.339056	7.124393
0.340326	6.760692
0.341597	6.931644
0.342868	6.903497
0.344138	6.742538
0.345409	6.444828
0.346680	6.382855
0.347950	6.537840
0.349221	6.729759
0.350491	7.538523
0.351762	7.915404
0.353032	7.562869
0.354303	7.728732
0.355574	8.177818
0.356844	8.398044
0.358115	8.392056
0.359385	8.502251
0.360656	8.806881
0.361926	8.814811
0.363197	8.975506
0.364468	8.594604
0.365738	8.432063
0.367009	8.781126
0.368279	8.860525
0.369550	9.270331
0.370821	10.191210
0.372091	10.412770
0.373362	10.528500
0.374632	10.441620
0.375903	10.536350
0.377174	10.297700
0.378444	9.986095
0.379715	9.884034
0.380985	9.665315
0.382256	9.469224
0.383526	9.536039
0.384797	9.448603
0.386068	9.550217
0.387338	9.326683
0.388609	9.580571
0.389879	9.833150
0.391150	9.852129
0.392421	9.788579
0.393691	9.468851
0.394962	9.333642
0.396232	9.450792
0.397503	9.459223
0.398774	9.452067
0.400044	9.491463
0.401315	9.284960
0.402585	9.373180
0.403856	9.336576
0.405127	9.367145
0.406397	9.344276
0.407668	9.191171
0.408938	9.396669
0.410209	9.147079
0.411479	9.239048
0.412750	8.786203
0.414021	8.289262
